step1_color,step2_color,step3_color,Rating,group,variable,Tm,Name
#dfc27d,#018571,#018571,1,A,v1,2020/11/24 11:57:57 AM MEZ,Ich habe keine Anmerkungen und finde den Entwurf gut.
#dfc27d,#018571,#018571,1,A,v2,2020/11/24 12:10:48 PM MEZ,Ich habe keine Anmerkungen und finde den Entwurf gut.
#dfc27d,#018571,#018571,1,A,v3,2020/11/24 12:19:24 PM MEZ,Ich habe keine Anmerkungen und finde den Entwurf gut.
#dfc27d,#018571,#018571,1,A,v4,2020/11/24 12:19:31 PM MEZ,Ich habe keine Anmerkungen und finde den Entwurf gut.
#dfc27d,#018571,#018571,1,A,v5,2020/11/24 12:19:34 PM MEZ,Ich habe keine Anmerkungen und finde den Entwurf gut.
#dfc27d,#018571,#018571,1,A,v6,2020/11/24 12:42:44 PM MEZ,Ich habe keine Anmerkungen und finde den Entwurf gut.
#dfc27d,#018571,#018571,1,A,v7,2020/11/24 1:21:24 PM MEZ,Ich habe keine Anmerkungen und finde den Entwurf gut.
#dfc27d,#018571,#018571,1,A,v8,2020/11/24 1:24:31 PM MEZ,Ich habe keine Anmerkungen und finde den Entwurf gut.
#dfc27d,#018571,#018571,1,A,v9,2020/11/24 1:32:49 PM MEZ,Ich habe keine Anmerkungen und finde den Entwurf gut.
#dfc27d,#018571,#018571,1,A,v10,2020/11/24 5:08:25 PM MEZ,Ich habe keine Anmerkungen und finde den Entwurf gut.
#dfc27d,#018571,#018571,1,B,v1,2020/11/24 8:26:11 PM MEZ,Ich habe keine Anmerkungen und finde den Entwurf gut.
#dfc27d,#018571,#018571,1,B,v2,2020/11/24 8:28:20 PM MEZ,Ich habe keine Anmerkungen und finde den Entwurf gut.
#dfc27d,#018571,#018571,1,B,v3,2020/11/24 9:21:46 PM MEZ,Ich habe keine Anmerkungen und finde den Entwurf gut.
#dfc27d,#018571,#018571,1,B,v4,2020/11/24 9:23:42 PM MEZ,Vielen Dank, das Sie sich dem Thema annehmen.
#dfc27d,#018571,#018571,1,B,v5,2020/11/24 10:42:10 PM MEZ,Ich habe keine Anmerkungen und finde den Entwurf gut.
#dfc27d,#018571,#018571,1,B,v6,2020/11/24 11:26:29 PM MEZ,Ich habe keine Anmerkungen und finde den Entwurf gut.
#dfc27d,#018571,#018571,1,B,v7,2020/11/25 10:42:49 AM MEZ,Ich habe keine Anmerkungen und finde den Entwurf gut.
#dfc27d,#018571,#018571,1,B,v8,2020/11/25 11:27:24 AM MEZ,Ich habe keine Anmerkungen und finde den Entwurf gut.
#dfc27d,#018571,#018571,1,B,v9,2020/11/25 2:34:14 PM MEZ,Ich habe keine Anmerkungen und finde den Entwurf gut.
#dfc27d,#018571,#018571,1,B,v10,2020/11/26 5:53:35 PM MEZ,Ich habe keine Anmerkungen und finde den Entwurf gut.
#dfc27d,#018571,#018571,1,C,v1,2020/12/03 10:56:24 AM MEZ,Ich habe keine Anmerkungen und finde den Entwurf gut.
#dfc27d,#018571,#018571,1,C,v2,2020/12/09 5:24:58 PM MEZ,Ich habe keine Anmerkungen und finde den Entwurf gut.
#dfc27d,#018571,#018571,1,C,v3,2021/01/14 9:55:50 PM MEZ,Ich habe keine Anmerkungen und finde den Entwurf gut.
#dfc27d,#018571,#80cdc1,2,C,v4,2020/11/24 12:01:33 PM MEZ,Das sieht so großartig aus
#dfc27d,#018571,#80cdc1,2,C,v5,2020/11/24 12:25:32 PM MEZ,wirklich eine tolle Arbeit / Visualisierung! Finde ich richtig klasse, einzig das bewegte Logo ist etwas angsteinflößend - würde ich weglassen.
#dfc27d,#018571,#80cdc1,2,C,v6,2020/11/24 12:25:52 PM MEZ,"Ich würde für das Logo bei einer Farbe, gern ein zu dem TU-Rot passendes Rot, bleiben und höchstens bei den Buchcovern auch andere Farben anwenden. Aber das kleine Quadrat immer in rot oder schwarz nehmen. Bei den flächigen Anwendungen könnten vllt. auch andere Darstellungsvarianten (wie in der zweiten Seite gezeigt) verwendet werden - man würde das Prinzip verstehen und das macht die Sache abwechslungsreicher.
Insgesamt gefällt mir der Ansatz sehr gut!"
#dfc27d,#018571,#80cdc1,2,C,v7,2020/11/24 1:04:12 PM MEZ,"It's a good start. The square as a framing of the observed geographical area is good. Would suggest that the outer boundaries (the frame) of the logo stay in the shape of a square. Inside of this outer frame the boarder between regional and city could be ""shapeshifting"" morphing between different appearances (simple GIF?). The square in the square, representing the city, comes across as a to static representation."
#dfc27d,#018571,#80cdc1,2,C,v8,2020/11/24 3:48:46 PM MEZ,Warum das Quadrat? Insgesamt gute Herleitung, aber ich befürchte das Logo überfordert und ohne Erläuterung ist es auch nicht sofort schlüssig.  
#dfc27d,#018571,#80cdc1,2,C,v9,2020/11/24 4:25:35 PM MEZ,"Sehr geehrte Damen und Herren, 

ich finde die Konzeption des neuen Auftrittes gut gelungen und danke für den durchdachten Vorschlag. Die Gestaltung durch zwei ineinander liegende Flächen erscheint mir sehr passend.
Mein Eindruck ist allerdings, dass wechselnde Formen und Farben zu viel Variation wären, eher sollte man sich meines Erachtens auf ein variierendes Merkmal beschränken, um eine gewisse Einheitlichkeit in der Außenwirkung zu halten.
Ich denke, wechselnde Formen sind etwas besser geeignet als Farben, die Vielfalt und Vielschichtigkeit der Gegenstände und Betrachtungsweisen räumlicher Planung darzustellen.
Die sich bewegenden Formen in einem der Entwurfslogos finde ich spaßig, allerdings glaube ich, dass das nur in wenigen Situationen passend ist und ansonsten eher unseriös wirken kann. Böse Zungen könnten auf die Idee kommen, dieses mit Ablenkungsmedien für Kinder zu vergleichen. Mit dieser Version sollte also, wenn überhaupt, nur äußerst vorsichtig umgegangen werden.

Gleichwohl möchte ich betonen, dass mir das Gestaltungskonzept im Ganzen sehr gelungen vorkommt und möchte für die Arbeit danken.

Viele Grüße,

B.
"
#dfc27d,#018571,#80cdc1,2,C,v10,2020/11/25 4:07:36 PM MEZ,Ich finde die 4. Variante (ausgeschrieben) etwas platt, würde es bei 3 belassen. Wäre für eine andere Farbe als das TU-Rot.  Finde das pulsierende Logo für digitale Formate sehr gut.
#dfc27d,#018571,#80cdc1,2,D,v1,2020/11/26 11:38:07 PM MEZ,Das zweite bewegte logo könnte einen weicheren übergang im loop haben. das sieht noch ein bisschen abgehackt aus. ansonsten ist es sehr gut, lebendig und neugierde weckend.
